epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.47463,2.5495,5.81563,1.99998,0.00054,0.04,0.00034,0.00013,2.28639,5.30264,1.99333,6.666e-05,6.666e-05,6.666e-05
2,8.34939,2.05984,4.26452,1.61964,0.7182,0.2,0.18866,0.12043,1.32317,4.86067,1.21735,0.000143,0.000143,0.000143
3,11.2569,1.7104,3.01922,1.37869,0.79495,0.18667,0.24212,0.14748,1.45452,3.24571,1.21978,0.0002178,0.0002178,0.0002178
4,14.6874,1.52103,2.43409,1.26768,0.23301,0.3271,0.33884,0.22935,1.25755,3.07584,1.11685,0.000291061,0.000291061,0.000291061
5,17.3479,1.51505,2.24344,1.26143,0.36201,0.68573,0.55653,0.31215,1.40798,2.54121,1.2453,0.000362781,0.000362781,0.000362781
6,20.0357,1.50857,2.01703,1.25658,0.51809,0.6049,0.54611,0.33455,1.43658,2.02685,1.16821,0.000432962,0.000432962,0.000432962
7,22.9661,1.56522,1.89951,1.27327,0.47139,0.54175,0.55354,0.35085,1.40696,2.09968,1.32858,0.000501603,0.000501603,0.000501603
8,26.1584,1.50558,1.7284,1.28179,0.40412,0.71469,0.61157,0.3977,1.56302,1.96549,1.42224,0.000568704,0.000568704,0.000568704
9,29.1594,1.51146,1.70912,1.22493,0.52238,0.68476,0.59854,0.34085,1.37313,2.0468,1.20601,0.000634265,0.000634265,0.000634265
10,31.7691,1.45013,1.62109,1.2508,0.69902,0.67445,0.65696,0.39364,1.39619,1.55888,1.2242,0.000698287,0.000698287,0.000698287
11,34.3359,1.45056,1.49501,1.20392,0.63166,0.59317,0.63082,0.37771,1.36365,1.54703,1.22816,0.000760768,0.000760768,0.000760768
12,36.8934,1.44945,1.36229,1.22124,0.79046,0.61676,0.66194,0.3879,1.48587,1.47366,1.35584,0.00082171,0.00082171,0.00082171
13,40.3023,1.45694,1.40824,1.24875,0.6407,0.79624,0.73017,0.42011,1.42113,1.5842,1.25426,0.000881112,0.000881112,0.000881112
14,42.9014,1.46184,1.37654,1.24873,0.62957,0.83751,0.70236,0.44156,1.3623,1.57092,1.23477,0.000938974,0.000938974,0.000938974
15,45.4763,1.34856,1.29877,1.15425,0.69872,0.72031,0.66665,0.4117,1.37985,1.37407,1.18731,0.000957015,0.000957015,0.000957015
16,47.9723,1.36832,1.29775,1.17182,0.65125,0.7693,0.77061,0.50898,1.36578,1.49764,1.14797,0.000946016,0.000946016,0.000946016
17,50.8146,1.3817,1.22512,1.19742,0.64932,0.66763,0.60844,0.42612,1.38505,2.01301,1.22517,0.000935018,0.000935018,0.000935018
18,53.9379,1.37554,1.20615,1.19233,0.64917,0.65997,0.73689,0.47223,1.43583,1.67817,1.23456,0.000924019,0.000924019,0.000924019
19,56.5304,1.38519,1.1994,1.20777,0.73709,0.68697,0.77032,0.51581,1.37181,1.33115,1.19685,0.00091302,0.00091302,0.00091302
20,59.1467,1.34262,1.11059,1.15096,0.67254,0.8381,0.8159,0.53732,1.36251,1.21061,1.18742,0.000902021,0.000902021,0.000902021
21,61.935,1.32692,1.11623,1.18333,0.66929,0.67333,0.74971,0.47496,1.3514,1.52591,1.19586,0.000891022,0.000891022,0.000891022
22,65.0528,1.3017,1.0648,1.15973,0.84984,0.81583,0.90108,0.56258,1.34041,1.04249,1.19421,0.000880023,0.000880023,0.000880023
23,68.0049,1.20431,1.01404,1.13408,0.85156,0.85736,0.93227,0.59045,1.34131,0.97897,1.13993,0.000869024,0.000869024,0.000869024
24,70.536,1.35252,1.0433,1.1491,0.87627,0.93413,0.96309,0.62798,1.29534,0.90869,1.16972,0.000858025,0.000858025,0.000858025
25,73.3729,1.22707,0.98025,1.10312,0.82545,0.89952,0.93224,0.60623,1.34128,0.91247,1.18713,0.000847026,0.000847026,0.000847026
26,75.9138,1.32621,1.05512,1.14387,0.88434,0.85895,0.92006,0.59771,1.30499,0.94025,1.16644,0.000836027,0.000836027,0.000836027
27,79.2478,1.27665,1.00296,1.13044,0.8946,0.87069,0.91051,0.57004,1.27775,0.89066,1.16682,0.000825029,0.000825029,0.000825029
28,81.7644,1.30098,0.99587,1.1385,0.88628,0.82176,0.90525,0.61474,1.20761,0.91848,1.14739,0.00081403,0.00081403,0.00081403
29,84.3844,1.22344,0.97263,1.10478,0.90309,0.84403,0.92967,0.63989,1.20411,0.84123,1.12729,0.000803031,0.000803031,0.000803031
30,87.1396,1.32238,0.98219,1.1522,0.85491,0.91101,0.93425,0.56199,1.32021,0.79358,1.18973,0.000792032,0.000792032,0.000792032
31,90.293,1.28057,0.95659,1.1291,0.89032,0.86048,0.92451,0.5557,1.35223,0.89548,1.20518,0.000781033,0.000781033,0.000781033
32,93.2354,1.24804,0.92138,1.11014,0.85725,0.82713,0.89352,0.58276,1.37564,0.96161,1.19066,0.000770034,0.000770034,0.000770034
33,95.7546,1.24026,0.93838,1.1339,0.84313,0.86075,0.90109,0.56692,1.30978,0.93234,1.1551,0.000759035,0.000759035,0.000759035
34,98.3091,1.23746,0.93522,1.09344,0.87622,0.8665,0.90777,0.61027,1.27677,0.8691,1.19076,0.000748036,0.000748036,0.000748036
35,100.797,1.21109,0.89332,1.09899,0.86783,0.87772,0.96566,0.64341,1.21378,0.80866,1.13158,0.000737037,0.000737037,0.000737037
36,104.092,1.23399,0.88547,1.09962,0.86326,0.80241,0.91318,0.62072,1.2093,0.80232,1.10909,0.000726038,0.000726038,0.000726038
37,106.853,1.20845,0.89632,1.09753,0.89893,0.78953,0.92116,0.62127,1.24026,0.81972,1.13975,0.00071504,0.00071504,0.00071504
38,109.486,1.24357,0.93695,1.1031,0.89521,0.78822,0.91728,0.60692,1.19237,0.8862,1.11731,0.000704041,0.000704041,0.000704041
39,111.972,1.22433,0.88082,1.13081,0.88723,0.81148,0.90218,0.6256,1.19175,0.87262,1.1183,0.000693042,0.000693042,0.000693042
40,114.689,1.2002,0.88949,1.09501,0.89069,0.86367,0.91831,0.6081,1.33895,0.82792,1.21272,0.000682043,0.000682043,0.000682043
41,117.967,1.19474,0.87402,1.11415,0.92131,0.88287,0.93817,0.6402,1.31449,0.81582,1.17853,0.000671044,0.000671044,0.000671044
42,120.509,1.14283,0.8561,1.07145,0.94932,0.8296,0.91725,0.59838,1.23526,0.8243,1.10874,0.000660045,0.000660045,0.000660045
43,123.04,1.22839,0.87492,1.10512,0.85467,0.86356,0.87853,0.56703,1.33467,0.90603,1.1732,0.000649046,0.000649046,0.000649046
44,125.598,1.17287,0.84173,1.0845,0.88095,0.85357,0.87741,0.57674,1.26001,0.82868,1.12726,0.000638047,0.000638047,0.000638047
45,128.285,1.12201,0.80608,1.03724,0.90623,0.85944,0.88724,0.60832,1.17309,0.75698,1.07215,0.000627048,0.000627048,0.000627048
46,131.387,1.14548,0.82116,1.08973,0.89846,0.87229,0.94553,0.64636,1.21326,0.72472,1.09722,0.000616049,0.000616049,0.000616049
47,134.005,1.13746,0.78487,1.06922,0.85773,0.88302,0.94529,0.66757,1.19668,0.76059,1.0758,0.000605051,0.000605051,0.000605051
48,136.638,1.08181,0.75871,1.06071,0.91878,0.87658,0.95965,0.65575,1.16924,0.72137,1.0737,0.000594052,0.000594052,0.000594052
49,139.18,1.12072,0.76813,1.02553,0.84776,0.95978,0.97318,0.64954,1.20801,0.71838,1.09749,0.000583053,0.000583053,0.000583053
50,142.28,1.10221,0.78147,1.07734,0.85053,0.89218,0.94752,0.65129,1.26795,0.72127,1.11823,0.000572054,0.000572054,0.000572054
51,145.132,1.08188,0.7286,1.05324,0.86923,0.90207,0.91444,0.62716,1.19231,0.73069,1.08466,0.000561055,0.000561055,0.000561055
52,147.719,1.11692,0.75622,1.04188,0.93945,0.88528,0.92808,0.65753,1.19725,0.74043,1.09428,0.000550056,0.000550056,0.000550056
53,150.317,1.05528,0.70869,1.03311,0.94071,0.88055,0.91441,0.60683,1.22832,0.74521,1.10305,0.000539057,0.000539057,0.000539057
54,152.886,1.05241,0.71253,1.03253,0.85443,0.91333,0.87521,0.60692,1.17462,0.72108,1.07389,0.000528058,0.000528058,0.000528058
55,156.151,1.08088,0.76407,1.05399,0.87822,0.9169,0.94009,0.66196,1.16301,0.689,1.07098,0.000517059,0.000517059,0.000517059
56,158.775,1.04019,0.71001,1.02728,0.86888,0.94587,0.94999,0.63583,1.26038,0.71211,1.09858,0.00050606,0.00050606,0.00050606
57,161.326,0.99421,0.68647,1.02624,0.86009,0.96505,0.95181,0.63647,1.25361,0.73276,1.08846,0.000495062,0.000495062,0.000495062
58,163.884,1.00739,0.71913,1.03862,0.80916,0.92371,0.93463,0.64975,1.1604,0.75765,1.05898,0.000484063,0.000484063,0.000484063
59,166.482,1.06144,0.70615,1.04294,0.81699,0.9211,0.93645,0.66318,1.16322,0.72379,1.08658,0.000473064,0.000473064,0.000473064
60,169.772,1.04015,0.70553,1.02954,0.84304,0.94227,0.95392,0.66758,1.13351,0.70788,1.06935,0.000462065,0.000462065,0.000462065
61,172.416,1.03683,0.68881,1.01756,0.85896,0.93107,0.95758,0.67757,1.12012,0.70971,1.05912,0.000451066,0.000451066,0.000451066
62,175.038,0.97774,0.63621,1.00133,0.88341,0.89333,0.94314,0.6497,1.17936,0.72433,1.0848,0.000440067,0.000440067,0.000440067
63,177.679,0.97156,0.65347,0.9971,0.8778,0.90004,0.92735,0.6048,1.28534,0.73734,1.15268,0.000429068,0.000429068,0.000429068
64,180.588,1.00111,0.65659,1.00067,0.89807,0.91749,0.92735,0.64319,1.22611,0.68749,1.13061,0.000418069,0.000418069,0.000418069
65,183.491,1.0264,0.65291,1.00706,0.91845,0.91333,0.93602,0.6352,1.19562,0.66393,1.1116,0.00040707,0.00040707,0.00040707
66,186.679,0.99447,0.67397,0.99278,0.92928,0.91333,0.93439,0.62043,1.21841,0.65757,1.09933,0.000396071,0.000396071,0.000396071
67,189.181,0.99406,0.62626,0.99204,0.91967,0.91451,0.94453,0.63027,1.26613,0.66643,1.11502,0.000385073,0.000385073,0.000385073
68,191.652,0.98936,0.6679,1.01574,0.94004,0.92808,0.94272,0.66159,1.17034,0.61773,1.07555,0.000374074,0.000374074,0.000374074
